date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:21:57	124403/124403	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202019%2012:21:54%20GMT	https://naturecircle.myshopify.com/products/8-countdown-product	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/products/8-countdown-product.html	(from https://naturecircle.myshopify.com/)
13:21:59	162685/162685	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202019%2012:21:57%20GMT	https://naturecircle.myshopify.com/blogs/news	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/blogs/news.html	(from https://naturecircle.myshopify.com/)
13:22:00	2407/2407	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Feb%202019%2005:03:11%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/files/logo_160x.png?v=1546419901	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/files/logo_160x8e4c.png	(from https://naturecircle.myshopify.com/)
13:22:01	68379/68379	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202019%2012:21:57%20GMT	https://naturecircle.myshopify.com/pages/contact	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/pages/contact.html	(from https://naturecircle.myshopify.com/)
13:22:01	66015/66015	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202019%2012:21:58%20GMT	https://naturecircle.myshopify.com/account/register	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/account/register.html	(from https://naturecircle.myshopify.com/)
13:22:02	66750/66750	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202019%2012:21:59%20GMT	https://naturecircle.myshopify.com/account/login	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/account/login.html	(from https://naturecircle.myshopify.com/)
13:22:02	64981/64981	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202019%2012:22:00%20GMT	https://naturecircle.myshopify.com/cart	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/cart.html	(from https://naturecircle.myshopify.com/)
13:22:03	1546/1546	---M--	429	error ('Too%20Many%20Requests')	text/html	etag:%2257605cd5-60a%22	https://naturecircle.myshopify.com/checkout	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/checkout	(from https://naturecircle.myshopify.com/)
13:22:06	7342/7342	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Mar%202019%2007:51:49%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/collections/tea_small.png?v=1546836637	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/collections/tea_smallb034.png	(from https://naturecircle.myshopify.com/)
13:22:10	76833/76833	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202019%2012:22:05%20GMT	https://naturecircle.myshopify.com/collections/tea	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/collections/tea.html	(from https://naturecircle.myshopify.com/)
13:22:12	47471/47471	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Mar%202019%2013:12:56%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/files/text.png?v=1546835994	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/files/textaed4.png	(from https://naturecircle.myshopify.com/)
13:22:12	8112/8112	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Mar%202019%2012:33:15%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/collections/burger_small.png?v=1546839335	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/collections/burger_small837f.png	(from https://naturecircle.myshopify.com/)
13:22:15	97132/97132	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202019%2012:22:11%20GMT	https://naturecircle.myshopify.com/collections/bread	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/collections/bread.html	(from https://naturecircle.myshopify.com/)
13:22:15	8858/8858	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Feb%202019%2008:10:59%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/collections/fruit_small.png?v=1546839410	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/collections/fruit_smallce6c.png	(from https://naturecircle.myshopify.com/)
13:22:18	96381/96381	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202019%2012:22:14%20GMT	https://naturecircle.myshopify.com/collections/fruits	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/collections/fruits.html	(from https://naturecircle.myshopify.com/)
13:22:18	120801/120801	---M--	200	added ('OK')	image/jpeg	date:Wed,%2013%20Mar%202019%2011:36:06%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/files/1.jpg?v=1546757386	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/files/10bfe.jpg	(from https://naturecircle.myshopify.com/)
13:22:19	8065/8065	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Mar%202019%2008:56:47%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/collections/drinks_small.png?v=1546839486	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/collections/drinks_smallaf65.png	(from https://naturecircle.myshopify.com/)
13:22:19	108385/108385	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Mar%202019%2012:33:14%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/files/2.jpg?v=1546757406	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/files/226ea.jpg	(from https://naturecircle.myshopify.com/)
13:22:19	8476/8476	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Mar%202019%2013:46:09%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/collections/vegetable_small.png?v=1546839583	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/collections/vegetable_small62e2.png	(from https://naturecircle.myshopify.com/)
13:22:20	97937/97937	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202019%2012:22:17%20GMT	https://naturecircle.myshopify.com/collections/juices	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/collections/juices.html	(from https://naturecircle.myshopify.com/)
13:22:22	98426/98426	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202019%2012:22:18%20GMT	https://naturecircle.myshopify.com/collections/vegetables	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/collections/vegetables.html	(from https://naturecircle.myshopify.com/)
13:22:25	137329/137329	---MCZ	200	added ('OK')	text/html	date:Wed,%2020%20Mar%202019%2012:22:20%20GMT	https://naturecircle.myshopify.com/products/1-new-and-sale-badge-product	C:/Users/achraf/OneDrive/Bureau/FrontPep/naturecircle.myshopify.com/products/1-new-and-sale-badge-product.html	(from https://naturecircle.myshopify.com/)
13:22:26	18603/18603	---M--	200	added ('OK')	image/jpeg	date:Fri,%2001%20Feb%202019%2005:03:12%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/products/1_large.jpg?v=1547544027	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/products/1_large1d58.jpg	(from https://naturecircle.myshopify.com/)
13:22:26	59688/59688	---M--	200	added ('OK')	image/png	date:Mon,%2018%20Mar%202019%2010:27:05%20GMT	http://cdn.shopify.com/s/files/1/0162/3932/9344/files/title.png?v=1546753447	C:/Users/achraf/OneDrive/Bureau/FrontPep/cdn.shopify.com/s/files/1/0162/3932/9344/files/titlef59e.png	(from https://naturecircle.myshopify.com/)
